Date,Open,High,Low,Close,Adj Close,Volume
2022-11-15,12.715000,12.820000,12.300000,12.360000,12.360000,21745000
2022-11-16,12.300000,12.300000,11.320000,11.370000,11.370000,23032400
2022-11-17,11.240000,11.490000,11.030000,11.460000,11.460000,18377400
2022-11-18,11.580000,11.660000,11.085000,11.260000,11.260000,14755900
2022-11-21,11.110000,11.110000,10.250000,10.310000,10.310000,32052700
2022-11-22,10.390000,10.390000,9.980000,10.130000,10.130000,23082800
2022-11-23,10.240000,10.350000,10.051000,10.250000,10.250000,18478600
2022-11-25,10.270000,10.280000,9.965000,10.020000,10.020000,12414200
2022-11-28,9.985000,10.188000,9.830000,9.850000,9.850000,24142600
2022-11-29,10.050000,10.070000,9.700000,9.760000,9.760000,19666600
2022-11-30,9.860000,10.360000,9.840000,10.140000,10.140000,69551900
2022-12-01,10.105000,10.235000,9.570000,9.830000,9.830000,27314300
2022-12-02,9.640000,10.165000,9.550000,10.150000,10.150000,27456300
2022-12-05,10.110000,10.190000,9.400000,9.430000,9.430000,26098200
2022-12-06,9.520000,9.520000,8.540000,8.650000,8.650000,39132200
2022-12-07,8.500000,8.735000,8.285000,8.610000,8.610000,23903900
2022-12-08,8.620000,8.840000,8.405000,8.680000,8.680000,24855900
2022-12-09,8.530000,8.690000,8.140000,8.680000,8.680000,43064600
2022-12-12,8.540000,8.590000,8.130000,8.280000,8.280000,26159800
2022-12-13,8.700000,8.955000,7.940000,7.990000,7.990000,40408100
2022-12-14,7.960000,7.970000,7.590000,7.680000,7.680000,29881900
2022-12-15,7.710000,7.820000,7.430000,7.450000,7.450000,31343400
2022-12-16,7.405000,7.620000,7.185000,7.370000,7.370000,41837800
2022-12-19,7.350000,7.370000,7.050000,7.230000,7.230000,22954100
2022-12-20,7.570000,7.890000,7.220000,7.230000,7.230000,42410700
2022-12-21,7.390000,7.390000,7.150000,7.180000,7.180000,26956100
2022-12-22,7.120000,7.170000,6.630000,6.890000,6.890000,35161300
2022-12-23,6.880000,6.900000,6.590000,6.700000,6.700000,22584900
2022-12-27,6.608000,6.610000,6.180000,6.200000,6.200000,35811200
2022-12-28,6.250000,6.640000,6.215000,6.380000,6.380000,27973100
2022-12-29,6.600000,6.900000,6.480000,6.700000,6.700000,26601600
2022-12-30,6.550000,6.830000,6.515000,6.830000,6.830000,22489800
2023-01-03,6.970000,7.070000,6.140000,6.170000,6.170000,31442200
2023-01-04,6.250000,6.720000,6.150000,6.480000,6.480000,26173400
2023-01-05,6.340000,6.394000,6.170000,6.250000,6.250000,21449700
2023-01-06,6.150000,6.430000,6.090000,6.360000,6.360000,24539300
2023-01-09,6.490000,6.980000,6.375000,6.780000,6.780000,27342000
2023-01-10,6.860000,7.220000,6.730000,7.190000,7.190000,25980600
2023-01-11,7.220000,8.000000,7.069000,7.930000,7.930000,44543100
2023-01-12,8.380000,8.470000,7.800000,8.310000,8.310000,45046900
2023-01-13,7.952000,8.180000,7.750000,8.150000,8.150000,29230400
2023-01-17,8.160000,8.320000,7.915000,8.050000,8.050000,21990000
2023-01-18,8.190000,8.340000,7.860000,8.160000,8.160000,24861700
2023-01-19,8.010000,8.074000,7.400000,7.450000,7.450000,29192200
2023-01-20,7.480000,7.820000,7.425000,7.820000,7.820000,20804200
2023-01-23,8.000000,8.895000,7.985000,8.820000,8.820000,37913500
2023-01-24,8.640000,9.060000,8.520000,8.600000,8.600000,25868900
2023-01-25,8.320000,8.880000,8.210000,8.870000,8.870000,22676500
2023-01-26,9.300000,9.379000,8.620000,9.000000,9.000000,26298900
2023-01-27,8.990000,17.809999,8.910000,12.870000,12.870000,208145200
2023-01-30,13.030000,13.080000,11.580000,11.750000,11.750000,114340300
2023-01-31,11.530000,12.250000,11.240000,11.690000,11.690000,50844400
2023-02-01,11.520000,12.140000,11.080000,11.845000,11.845000,42035400
2023-02-02,12.200000,13.040000,11.860000,12.070000,12.070000,71458700
2023-02-03,11.700000,12.650000,11.440000,11.620000,11.620000,30090800
2023-02-06,11.680000,12.130000,11.600000,11.960000,11.960000,26373700
2023-02-07,11.810000,11.880000,11.110000,11.570000,11.570000,29247200
2023-02-08,11.460000,12.150000,11.400000,11.530000,11.530000,21528900
2023-02-09,11.720000,11.720000,10.200000,10.310000,10.310000,33517900
2023-02-10,10.460000,10.460000,9.740000,10.030000,10.030000,23229200
2023-02-13,9.960000,10.230000,9.635000,10.200000,10.200000,14305200
2023-02-14,10.010000,10.440000,9.830000,10.330000,10.330000,17868200
2023-02-15,10.280000,11.070000,10.100000,11.010000,11.010000,23199600
2023-02-16,11.000000,11.267000,10.620000,10.630000,10.630000,22168100
2023-02-17,10.585000,10.950000,10.350000,10.930000,10.930000,15798400
2023-02-21,10.740000,10.740000,9.810000,9.900000,9.900000,23461500
2023-02-22,10.040000,10.220000,9.822000,9.980000,9.980000,26981500
2023-02-23,8.630000,8.890000,8.100000,8.790000,8.790000,66382600
2023-02-24,8.380000,8.550000,8.170000,8.510000,8.510000,27562600
2023-02-27,8.500000,8.850000,8.415000,8.760000,8.760000,17714700
2023-02-28,8.715000,9.260000,8.715000,9.130000,9.130000,23496100
2023-03-01,8.970000,9.060000,8.350000,8.620000,8.620000,22734900
2023-03-02,8.390000,8.630000,8.130000,8.530000,8.530000,16281100
2023-03-03,8.670000,9.095000,8.630000,8.940000,8.940000,19535300
2023-03-06,9.000000,9.180000,8.815000,8.820000,8.820000,13876600
2023-03-07,8.700000,8.710000,8.270000,8.310000,8.310000,17533500
2023-03-08,8.240000,8.440000,8.151000,8.340000,8.340000,10208000
2023-03-09,8.250000,8.338000,7.970000,8.000000,8.000000,19967900
2023-03-10,8.015000,8.230000,7.690000,7.870000,7.870000,16763400
2023-03-13,7.580000,7.945000,7.330000,7.840000,7.840000,17990500
2023-03-14,7.920000,8.030000,7.490000,7.540000,7.540000,18241300
2023-03-15,7.350000,7.530000,7.230000,7.400000,7.400000,17736200
2023-03-16,7.370000,7.870000,7.330000,7.830000,7.830000,17161400
2023-03-17,7.680000,7.839000,7.370000,7.690000,7.690000,28236500
2023-03-20,7.460000,7.830000,7.280000,7.700000,7.700000,13236000
2023-03-21,7.850000,8.310000,7.805000,8.190000,8.190000,17486400
2023-03-22,8.200000,8.315000,7.900000,7.930000,7.930000,15098600
2023-03-23,8.105000,8.295000,8.010000,8.190000,8.190000,12067300
2023-03-24,8.020000,8.310000,7.985000,8.190000,8.190000,8224700
2023-03-27,8.300000,8.300000,8.090000,8.140000,8.140000,11530800
2023-03-28,8.110000,8.239000,7.410000,7.550000,7.550000,20200200
